"","Name","Product"
"b0134","panB","3-methyl-2-oxobutanoate hydroxymethyltransferase"
"b0135","yadC","putative fimbrial-like adhesin protein"
"b0136","yadK","putative fimbrial-like adhesin protein"
"b0137","yadL","putative fimbrial-like adhesin protein"
"b0138","yadM","putative fimbrial-like adhesin protein"
"b0139","htrE","putative outer membrane usher protein"
"b0140","yadV","putative periplasmic pilin chaperone"
"b0141","yadN","putative fimbrial-like adhesin protein"
"b0142","folK","2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase"
"b0143","pcnB","poly(A) polymerase"
"b0144","gluQ","glutamyl-Q tRNA(Asp) synthetase"
"b0145","dksA","transcriptional regulator of rRNA transcription, DnaK suppressor protein"
"b0146","sfsA","sugar fermentation stimulation protein A"
"b0147","ligT","2'-5' RNA ligase"
"b0148","hrpB","putative ATP-dependent helicase"
"b0149","mrcB","fused glycosyl transferase and transpeptidase"
"b0150","fhuA","ferrichrome outer membrane transporter"
"b0151","fhuC","iron-hydroxamate transporter subunit"
"b0152","fhuD","iron-hydroxamate transporter subunit"
"b0153","fhuB","fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components"
"b0154","hemL","glutamate-1-semialdehyde aminotransferase (aminomutase)"
"b0155","clcA","H(+)/Cl(-) exchange transporter"
"b0156","erpA","iron-sulfur cluster insertion protein"
"b0157","yadS","UPF0126 family inner membrane protein"
"b0158","btuF","vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily"
"b0159","mtn","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase"
"b0160","dgt","deoxyguanosine triphosphate triphosphohydrolase"
"b0161","degP","serine endoprotease (protease Do), membrane-associated"
"b0162","cdaR","carbohydrate diacid regulon transcriptional regulator; autoregulator"
"b0163","yaeH","UPF0325 family protein"
"b0164","yaeI","phosphodiesterase with model substrate bis-pNPP"
"b0166","dapD","2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase"
"b0167","glnD","uridylyltransferase"
"b0168","map","methionine aminopeptidase"
"b4414","tff","-"
"b0169","rpsB","30S ribosomal subunit protein S2"
"b0170","tsf","translation elongation factor EF-Ts"
"b0171","pyrH","uridylate kinase"
"b0172","frr","ribosome recycling factor"
"b0173","dxr","1-deoxy-D-xylulose 5-phosphate reductoisomerase"
"b0174","ispU","undecaprenyl pyrophosphate synthase"
"b0175","cdsA","CDP-diglyceride synthase"
"b0176","rseP","inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA; cleaved signal peptide endoprotease"
"b0177","bamA","BamABCDE complex OM biogenesis outer membrane pore-forming assembly factor"
"b0178","skp","periplasmic chaperone"
"b0179","lpxD","UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase"
"b0180","fabZ","(3R)-hydroxymyristol acyl carrier protein dehydratase"
"b0181","lpxA","UDP-N-acetylglucosamine acetyltransferase"
"b0182","lpxB","tetraacyldisaccharide-1-P synthase"
"b0183","rnhB","ribonuclease HII, degrades RNA of DNA-RNA hybrids"
"b0184","dnaE","DNA polymerase III alpha subunit"
"b0185","accA","acetyl-CoA carboxylase, carboxytransferase, alpha subunit"
"b0186","ldcC","lysine decarboxylase 2, constitutive"
"b0187","yaeR","putative lyase"
"b0188","tilS","tRNA(Ile)-lysidine synthetase"
"b0189","rof","modulator of Rho-dependent transcription termination"
"b4406","yaeP","UPF0253 family protein"
"b0190","yaeQ","PDDEXK superfamily protein"
"b0191","arfB","alternative stalled-ribosome rescue factor B; peptidyl-tRNA hydrolase, ribosome-attached"
"b0192","nlpE","lipoprotein involved with copper homeostasis and adhesion"
"b0193","yaeF","putative lipoprotein"
"b0194","proS","prolyl-tRNA synthetase"
"b0195","tsaA","tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase, SAM-dependent"
"b0196","rcsF","putative outer membrane protein"
"b0197","metQ","DL-methionine transporter subunit"
"b0198","metI","DL-methionine transporter subunit"
"b0199","metN","DL-methionine transporter subunit"
"b0200","gmhB","D,D-heptose 1,7-bisphosphate phosphatase"
"b0201","rrsH","16S ribosomal RNA of rrnH operon"
"b0202","ileV","Ile tRNA"
"b0203","alaV","Ala tRNA"
"b0204","rrlH","23S ribosomal RNA of rrnH operon"
"b0205","rrfH","5S ribosomal RNA of rrnH operon"
"b0206","aspU","Asp tRNA"
"b0207","dkgB","2,5-diketo-D-gluconate reductase B"
"b0208","yafC","LysR family putative transcriptional regulator"
"b0209","yafD","endo/exonuclease/phosphatase family protein"
"b0210","yafE","putative S-adenosyl-L-methionine-dependent methyltransferase"
"b0211","mltD","putative membrane-bound lytic murein transglycosylase D"
"b0212","gloB","hydroxyacylglutathione hydrolase"
"b0213","yafS","putative S-adenosyl-L-methionine-dependent methyltransferase"
"b0214","rnhA","ribonuclease HI, degrades RNA of DNA-RNA hybrids"
"b0215","dnaQ","DNA polymerase III epsilon subunit"
"b0216","aspV","Asp tRNA"
"b0217","yafT","lipoprotein"
"b4586","ykfM","lethality reduction protein, putative inner membrane protein"
"b0219","yafV","putative NAD(P)-binding C-N hydrolase family amidase"
"b0220","ivy","inhibitor of c-type lysozyme, periplasmic"
"b0221","fadE","acyl coenzyme A dehydrogenase"
"b0222","gmhA","D-sedoheptulose 7-phosphate isomerase"
"b0223","yafJ","putative amidotransfease"
"b0224","yafK","L,D-transpeptidase-related protein"
"b0225","yafQ","translation inhibitor toxin of toxin-antitoxin pair YafQ/DinJ"
"b0226","dinJ","antitoxin of YafQ-DinJ toxin-antitoxin system"
"b0227","yafL","putative lipoprotein and C40 family peptidase"
"b0228","rayT","RAYT REP element-mobilizing transposase; TnpA(REP)"
"b0231","dinB","DNA polymerase IV"
"b0232","yafN","antitoxin of the YafO-YafN toxin-antitoxin system"
"b0233","yafO","mRNA interferase toxin of the YafO-YafN toxin-antitoxin system"
"b0234","yafP","putative acyl-CoA transferase"
"b0237","pepD","aminoacyl-histidine dipeptidase (peptidase D)"
"b0238","gpt","xanthine phosphoribosyltransferase; xanthine-guanine phosphoribosyltransferase"
"b0239","frsA","fermentation-respiration switch protein; PTS Enzyme IIA(Glc)-binding protein; pNP-butyrate esterase activity"
"b0241","phoE","outer membrane phosphoporin protein E"
"b0242","proB","gamma-glutamate kinase"
"b0243","proA","gamma-glutamylphosphate reductase"
"b0244","thrW","Thr tRNA"
"b0245","ykfI","CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system"
"b0246","yafW","CP4-6 prophage; antitoxin of the YkfI-YafW toxin-antitoxin system"
"b4504","ykfH","uncharacterized protein"
"b0247","ykfG","CP4-6 prophage; RadC-like JAB domain protein"
"b0248","yafX","CP4-6 prophage; uncharacterized protein"
"b0249","ykfF","CP4-6 prophage; uncharacterized protein"
"b0250","ykfB","CP4-6 prophage; uncharacterized protein"
"b0251","yafY","lipoprotein, inner membrane; overproduction stimulates degP expression; CP4-6 prophage"
"b0252","yafZ","CP4-6 prophage; conserved protein"
"b0253","ykfA","CP4-6 prophage; putative GTP-binding protein"
"b0254","perR","CP4-6 prophage; putative DNA-binding transcriptional regulator"
"b0256","insI1","IS30 transposase"
"b4690","eyeA","-"
"b0259","insH1","IS5 transposase and trans-activator"
"b0260","mmuP","CP4-6 prophage; putative S-methylmethionine transporter"
"b0261","mmuM","CP4-6 prophage; S-methylmethionine:homocysteine methyltransferase"
"b0262","afuC","CP4-6 prophage; putative ferric transporter subunit"
"b0264","insB1","IS1 transposase B"
"b0265","insA","IS1 repressor TnpA"
"b0267","yagA","CP4-6 prophage; putative DNA-binding transcriptional regulator"
"b0268","yagE","2-keto-3-deoxy gluconate (KDG) aldolase; CP4-6 prophage"
"b0269","yagF","CP4-6 prophage; dehydratase family protein"
"b0270","yagG","CP4-6 prophage; putative sugar transporter"
"b0271","yagH","CP4-6 prophage; putative xylosidase/arabinosidase"
"b0272","yagI","CP4-6 prophage; putative DNA-binding transcriptional regulator"
"b0273","argF","ornithine carbamoyltransferase 2, chain F; CP4-6 prophage"
"b0274","insB1","IS1 transposase B"
"b0275","insA","IS1 repressor TnpA"
"b0277","yagK","CP4-6 prophage; conserved protein"
"b0278","yagL","CP4-6 prophage; DNA-binding protein"
"b0279","yagM","CP4-6 prophage; uncharacterized protein"
"b0280","yagN","CP4-6 prophage; uncharacterized protein"
"b0281","intF","CP4-6 prophage; putative phage integrase"
"b4629","ptwF","Xaa tRNA"
"b0283","paoD","moco insertion factor for PaoABC aldehyde oxidoreductase"
"b0284","paoC","PaoABC aldehyde oxidoreductase, Moco-containing subunit"
"b0285","paoB","PaoABC aldehyde oxidoreductase, FAD-containing subunit"
"b0286","paoA","PaoABC aldehyde oxidoreductase, 2Fe-2S subunit"
"b0287","yagU","DUF1440 family inner membrane protein"
"b0288","ykgJ","UPF0153 cysteine cluster protein"
"b0289","ecpE","ECP production pilus chaperone"
"b0290","ecpD","polymerized tip adhesin of ECP fibers"
"b0291","ecpC","ECP production outer membrane protein"
"b0292","ecpB","ECP production pilus chaperone"
"b0293","ecpA","ECP pilin"
"b0294","ecpR","putative transcriptional regulator for the ecp operon"
"b0295","ykgL","uncharacterized protein"
"b4506","ykgO","RpmJ-like protein"
"b0296","ykgM","50S ribosomal protein L31 type B; alternative L31 utilized during zinc limitation"
"b4671","ykgR","uncharacterized protein"
"b0298","insE1","IS3 transposase A"
"b0299","insF1","IS3 transposase B"
"b0301","rclC","reactive chlorine species (RCS) stress resistance inner membrane protein"
"b0303","rclB","reactive chlorine species (RCS) stress resistance periplasmic protein"
"b0304","rclA","reactive chlorine stress species (RCS) resistance protein; pyridine nucleotide-dependent disulfide oxidoreductase family"
"b0305","rclR","reactive chlorine species (RCS)-specific activator of the rcl genes"
"b0306","ykgE","cysteine-rich LutA family protein; putative electron transport chain YkgEFG component"
"b0307","ykgF","ferridoxin-like LutB family protein; putative electron transport chain YkgEFG component"
"b0308","ykgG","LutC family protein; putative electron transport chain YkgEFG component"
"b0310","ykgH","putative inner membrane protein"
"b0311","betA","choline dehydrogenase, a flavoprotein"
"b0312","betB","betaine aldehyde dehydrogenase, NAD-dependent"
"b0313","betI","choline-inducible betIBA-betT divergent operon transcriptional repressor"
"b0314","betT","choline transporter of high affinity"
"b0315","yahA","c-di-GMP-specific phosphodiesterase"
"b0316","yahB","putative DNA-bindng transcriptional regulator"
"b0317","yahC","putative inner membrane protein"
"b0318","yahD","ankyrin repeat protein"
"b0319","yahE","DUF2877 family protein"
"b0320","yahF","putative NAD(P)-binding succinyl-CoA synthase"
"b0321","yahG","DUF1116 family protein"
"b0323","yahI","carbamate kinase-like protein"
"b0324","yahJ","putative metallo-dependent hydrolase domain deaminase"
"b0325","yahK","aldehyde reductase, NADPH-dependent, Zn-containing, broad specificity"
"b0326","yahL","uncharacterized protein"
"b0327","yahM","uncharacterized protein"
"b0328","yahN","amino acid exporter for proline, lysine, glutamate, homoserine"
"b0329","yahO","periplasmic protein, function unknown, YhcN family"
"b0330","prpR","propionate catabolism operon regulatory protein"
"b0331","prpB","2-methylisocitrate lyase"
"b0333","prpC","2-methylcitrate synthase"
"b0334","prpD","2-methylcitrate dehydratase"
"b0335","prpE","propionate--CoA ligase"
"b0336","codB","cytosine transporter"
"b0337","codA","cytosine/isoguanine deaminase"
"b0338","cynR","transcriptional activator of cyn operon; autorepressor"
"b0339","cynT","carbonic anhydrase"
"b0340","cynS","cyanate aminohydrolase"
"b0341","cynX","putative cyanate transporter"
"b0342","lacA","thiogalactoside acetyltransferase"
"b0343","lacY","lactose permease"
"b0344","lacZ","beta-D-galactosidase"
"b0345","lacI","lactose-inducible lac operon transcriptional repressor"
"b0346","mhpR","mhp operon transcriptional activator"
"b0347","mhpA","3-(3-hydroxyphenyl)propionate hydroxylase"
"b0348","mhpB","2,3-dihydroxyphenylpropionate 1,2-dioxygenase"
"b0349","mhpC","2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase"
"b0350","mhpD","2-keto-4-pentenoate hydratase"
"b0351","mhpF","acetaldehyde-CoA dehydrogenase II, NAD-binding"
"b0352","mhpE","4-hyroxy-2-oxovalerate/4-hydroxy-2-oxopentanoic acid aldolase, class I"
"b0353","mhpT","3-hydroxyphenylpropionic transporter"
"b0354","yaiL","DUF2058 family protein"
"b0355","frmB","S-formylglutathione hydrolase"
"b0356","frmA","alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase"
"b0357","frmR","regulator protein that represses frmRAB operon"
"b0358","yaiO","outer membrane protein"
"b0360","insC1","IS2 repressor TnpA"
"b0361","insD1","IS2 transposase TnpB"
"b0363","yaiP","putative family 2 glycosyltransferase"
"b0364","yaiS","putative PIG-L family deacetylase"
"b0365","tauA","taurine transporter subunit"
"b0366","tauB","taurine transporter subunit"
"b0367","tauC","taurine transporter subunit"
"b0368","tauD","taurine dioxygenase, 2-oxoglutarate-dependent"
"b0369","hemB","5-aminolevulinate dehydratase (porphobilinogen synthase)"
"b0372","insF1","IS3 transposase B"
"b0373","insE1","IS3 transposase A"
"b0375","yaiV","putative transcriptional regulator"
"b0376","ampH","D-alanyl-D-alanine-carboxypeptidase/endopeptidase; penicillin-binding protein; weak beta-lactamase"
"b0377","sbmA","microcin B17 transporter"
"b0378","yaiW","putative lipoprotein"
"b0379","yaiY","DUF2755 family inner membrane protein"
"b0380","yaiZ","DUF2754 family putative inner membrane protein"
"b0381","ddlA","D-alanine-D-alanine ligase A"
"b0382","iraP","anti-RssB factor, RpoS stabilzer during Pi starvation; anti-adapter protein"
"b0383","phoA","bacterial alkaline phosphatase"
"b0384","psiF","PsiF family protein"
"b0385","yaiC","diguanylate cyclase, cellulose regualtor"
"b0386","proC","pyrroline-5-carboxylate reductase, NAD(P)-binding"
"b0387","yaiI","UPF0178 family protein"
"b0388","aroL","shikimate kinase II"
"b0389","yaiA","OxyR-regulated conserved protein"
"b0390","aroM","AroM family protein"
"b0391","yaiE","UPF0345 family protein"
"b0393","rdgC","nucleoid-associated ssDNA and dsDNA binding protein; competitive inhibitor of RecA function"
"b0394","mak","manno(fructo)kinase"
"b0396","araJ","arabinose-inducible putative transporter, MFS family"
"b0397","sbcC","exonuclease, dsDNA, ATP-dependent"
"b0398","sbcD","exonuclease, dsDNA, ATP-dependent"
"b0399","phoB","response regulator in two-component regulatory system with PhoR (or CreC)"
"b0400","phoR","sensory histidine kinase in two-component regulatory system with PhoB"
"b0401","brnQ","branched-chain amino acid transport system 2 carrier protein; LIV-II transport system for Ile, Leu, and Val"
"b0402","proY","proline-specific permease"
"b0403","malZ","maltodextrin glucosidase"
"b0404","acpH","acyl carrier protein (ACP) phosphodiesterase; ACP hydrolyase"
"b0405","queA","S-adenosylmethionine:tRNA ribosyltransferase-isomerase"
"b0406","tgt","tRNA-guanine transglycosylase"
"b0407","yajC","SecYEG protein translocase auxillary subunit"
"b0408","secD","SecYEG protein translocase auxillary subunit"
"b0409","secF","SecYEG protein translocase auxillary subunit"
"b0410","yajD","HNH nuclease family protein"
"b0411","tsx","nucleoside channel, receptor of phage T6 and colicin K"
"b0412","yajI","putative lipoprotein"
"b0413","nrdR","Nrd regulon repressor"
"b0414","ribD","fused diaminohydroxyphosphoribosylaminopyrimidine deaminase and 5-amino-6-(5-phosphoribosylamino) uracil reductase"
"b0415","ribE","riboflavin synthase beta chain"
"b0416","nusB","transcription antitermination protein"
"b0417","thiL","thiamine monophosphate kinase"
"b0418","pgpA","phosphatidylglycerophosphatase A"
"b0419","yajO","2-carboxybenzaldehyde reductase"
"b0420","dxs","1-deoxyxylulose-5-phosphate synthase, thiamine triphosphate-binding, FAD-requiring"
"b0421","ispA","geranyltranstransferase"
"b0422","xseB","exonuclease VII small subunit"
"b0423","thiI","tRNA s(4)U8 sulfurtransferase"
"b0424","yajL","oxidative-stress-resistance chaperone"
"b0425","panE","2-dehydropantoate reductase, NADPH-specific"
"b0426","yajQ","phage Phi6 host factor, ATP/GTP binding protein"
"b0427","yajR","putative transporter"
"b0428","cyoE","protoheme IX farnesyltransferase"
"b0429","cyoD","cytochrome o ubiquinol oxidase subunit IV"
"b0430","cyoC","cytochrome o ubiquinol oxidase subunit III"
"b0431","cyoB","cytochrome o ubiquinol oxidase subunit I"
"b0432","cyoA","cytochrome o ubiquinol oxidase subunit II"
"b0433","ampG","muropeptide transporter"
"b0434","yajG","putative lipoprotein"
"b0435","bolA","stationary-phase morphogene, transcriptional repressor for mreB; also regulator for dacA, dacC, and ampC"
"b0436","tig","peptidyl-prolyl cis/trans isomerase (trigger factor)"
"b0437","clpP","proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases"
"b0438","clpX","ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease"
"b0439","lon","DNA-binding ATP-dependent protease La"
"b0440","hupB","HU, DNA-binding transcriptional regulator, beta subunit"
"b0441","ppiD","periplasmic folding chaperone, has an inactive PPIase domain"
"b0442","ybaV","putative competence-suppressing periplasmic helix-hairpin-helix DNA-binding protein"
"b0443","fadM","long-chain acyl-CoA thioesterase III"
"b0444","queC","7-cyano-7-deazaguanine (preQ0) synthase; queuosine biosynthesis"
"b0445","ybaE","putative ABC superfamily transporter periplasmic-binding protein"
"b0446","cof","thiamine pyrimidine pyrophosphate hydrolase; HMP-PP phosphatase"
"b0447","ybaO","putative DNA-binding transcriptional regulator"
"b0448","mdlA","putative multidrug transporter subunit of ABC superfamily, ATP-binding component"
"b0449","mdlB","putative multidrug transporter subunit of ABC superfamily, ATP-binding component"
"b0450","glnK","nitrogen assimilation regulatory protein for GlnL, GlnE, and AmtB"
"b0451","amtB","ammonium transporter"
"b0452","tesB","acyl-CoA thioesterase 2"
"b0453","ybaY","outer membrane lipoprotein"
"b0454","ybaZ","excision repair protein, alkyltransferase-like protein ATL"
"b0455","ffs","-"
"b0456","ybaA","DUF1428 family protein"
"b0457","ylaB","putative membrane-anchored cyclic-di-GMP phosphodiesterase"
"b0458","ylaC","DUF1449 family inner membrane protein"
"b0459","maa","maltose O-acetyltransferase"
"b0460","hha","modulator of gene expression, with H-NS"
"b0461","tomB","Hha toxicity attenuator; conjugation-related protein"
"b0462","acrB","multidrug efflux system protein"
"b0463","acrA","multidrug efflux system"
"b0464","acrR","transcriptional repressor"
"b0465","mscK","mechanosensitive channel protein, intermediate conductance, K+ regulated"
"b0466","ybaM","DUF2496 family protein"
"b0467","priC","primosomal replication protein N''"
"b0468","ybaN","DUF454 family inner membrane protein"
"b0469","apt","adenine phosphoribosyltransferase"
"b0470","dnaX","DNA polymerase III/DNA elongation factor III, tau and gamma subunits"
"b0471","ybaB","DNA-binding protein, putative nucleoid-associated protein"
"b0472","recR","gap repair protein"
"b0473","htpG","protein refolding molecular co-chaperone Hsp90, Hsp70-dependent; heat-shock protein; ATPase"
"b0474","adk","adenylate kinase"
"b0475","hemH","ferrochelatase"
"b0476","aes","acetyl esterase"
"b0477","gsk","inosine/guanosine kinase"
"b0478","ybaL","inner membrane putative NAD(P)-binding transporter"
"b0479","fsr","putative fosmidomycin efflux system protein"
"b0480","ushA","bifunctional UDP-sugar hydrolase/5'-nucleotidase"
"b0481","ybaK","Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase"
"b4585","chiX","-"
"b0482","ybaP","TraB family protein"
"b0483","ybaQ","putative DNA-binding transcriptional regulator"
"b0484","copA","copper transporter"
"b0485","glsA","glutaminase 1"
"b0486","ybaT","putative amino acid transporter"
"b0487","cueR","copper-responsive regulon transcriptional regulator"
"b0488","ybbJ","inner membrane protein that stimulates the ftsH htpX mutant suppressor activity of QmcA"
"b0489","qmcA","PHB domain membrane-anchored putative protease"
"b0490","fetA","iron exporter, ATP-binding subunit, ABC transporter FetAB subunit; peroxide resistance protein"
"b0491","fetB","iron exporter permease subunit, ABC transporter FetAB; peroxide resistance protein"
"b0492","ybbN","DnaK co-chaperone, thioredoxin-like protein"
"b0493","ybbO","putative oxidoreductase"
